Transaction_ID,Date,Amount,Category,Type,Payment_Mode,Merchant,Notes,Month_Num,Month_Name,Day_of_Week,Week_Number,Spend_Bucket,Is_Weekend,Is_Anomaly,Quarter
TXN10523,2024-07-11,4431.86,Education,Need,GPay,Unacademy,Unacademy payment,7,July,Thursday,28,Large,No,No,Q3
TXN10602,2024-08-05,247.31,Transport,Need,Paytm,RedBus,RedBus payment,8,August,Monday,32,Small,No,No,Q3
TXN10526,2024-07-12,2322.61,Shopping,Want,GPay,Amazon,Amazon payment,7,July,Friday,28,Large,No,No,Q3
TXN10031,2024-01-12,4272.21,Shopping,Want,Paytm,Ajio,Ajio payment,1,January,Friday,2,Large,No,No,Q1
TXN10616,2024-08-10,1332.7,Shopping,Want,PhonePe,Ajio,Ajio payment,8,August,Saturday,32,Medium,Yes,No,Q3
TXN10585,2024-07-28,442.91,Bills & Utilities,Need,GPay,MPPKVVCL,MPPKVVCL payment,7,July,Sunday,30,Small,Yes,No,Q3
TXN10444,2024-06-21,1111.22,Groceries,Need,PhonePe,Reliance Fresh,Reliance Fresh payment,6,June,Friday,25,Medium,No,No,Q2
TXN10732,2024-09-15,29.82,Transport,Need,GPay,IRCTC,IRCTC payment,9,September,Sunday,37,Small,Yes,No,Q3
TXN10076,2024-01-28,1145.34,Health & Medical,Need,Paytm,Local Clinic,Local Clinic payment,1,January,Sunday,4,Medium,Yes,No,Q1
TXN10411,2024-06-11,1060.23,Entertainment,Want,GPay,Hotstar,Hotstar payment,6,June,Tuesday,24,Medium,No,No,Q2
TXN10568,2024-07-23,251.27,Food & Dining,Need,PhonePe,McDonald's,McDonald's payment,7,July,Tuesday,30,Small,No,No,Q3
TXN10070,2024-01-26,522.74,Food & Dining,Need,Amazon Pay,Swiggy,Swiggy payment,1,January,Friday,4,Medium,No,No,Q1
TXN10675,2024-08-26,1482.32,Health & Medical,Need,GPay,Medplus,Medplus payment,8,August,Monday,35,Medium,No,No,Q3
TXN10101,2024-02-10,1372.24,Education,Need,GPay,Coursera,Coursera payment,2,February,Saturday,6,Medium,Yes,No,Q1
TXN10894,2024-11-12,741.58,Bills & Utilities,Need,PhonePe,MPPKVVCL,MPPKVVCL payment,11,November,Tuesday,46,Medium,No,No,Q4
TXN10925,2024-11-23,435.58,Food & Dining,Need,GPay,Zomato,Zomato payment,11,November,Saturday,47,Small,Yes,No,Q4
TXN10629,2024-08-13,1813.79,Groceries,Need,GPay,BigBasket,BigBasket payment,8,August,Tuesday,33,Medium,No,No,Q3
TXN10299,2024-05-05,853.21,Food & Dining,Need,PhonePe,Local Dhaba,Local Dhaba payment,5,May,Sunday,18,Medium,Yes,No,Q2
TXN10924,2024-11-22,3572.21,Travel,Want,GPay,OYO,OYO payment,11,November,Friday,47,Large,No,No,Q4
TXN10424,2024-06-15,501.79,Miscellaneous,Want,PhonePe,Temple,Temple payment,6,June,Saturday,24,Medium,Yes,No,Q2
TXN10096,2024-02-08,1840.2,Miscellaneous,Want,PhonePe,Gift,Gift payment,2,February,Thursday,6,Medium,No,No,Q1
TXN10900,2024-11-14,5119.12,Miscellaneous,Want,PhonePe,Gift,Gift payment,11,November,Thursday,46,Large,No,No,Q4
TXN10260,2024-04-20,4321.47,Shopping,Want,GPay,Nykaa,Nykaa payment,4,April,Saturday,16,Large,Yes,No,Q2
TXN10350,2024-05-22,6382.3,Education,Need,Paytm,Unacademy,Unacademy payment,5,May,Wednesday,21,Large,No,No,Q2
TXN10528,2024-07-12,747.25,Food & Dining,Need,BHIM UPI,Dominos,No Description,7,July,Friday,28,Medium,No,No,Q3
TXN10694,2024-09-05,718.21,Food & Dining,Need,PhonePe,Cafe Coffee Day,Cafe Coffee Day payment,9,September,Thursday,36,Medium,No,No,Q3
TXN10361,2024-05-26,7455.81,Miscellaneous,Want,BHIM UPI,Salon,Salon payment,5,May,Sunday,21,Large,Yes,Yes,Q2
TXN10611,2024-08-08,645.26,Groceries,Need,PhonePe,BigBasket,BigBasket payment,8,August,Thursday,32,Medium,No,No,Q3
TXN10884,2024-11-10,3321.1,Food & Dining,Need,GPay,Local Dhaba,No Description,11,November,Sunday,45,Large,Yes,No,Q4
TXN10720,2024-09-13,408.27,Food & Dining,Need,GPay,Zomato,Zomato payment,9,September,Friday,37,Small,No,No,Q3
TXN10486,2024-07-02,750.21,Food & Dining,Need,Amazon Pay,Cafe Coffee Day,Cafe Coffee Day payment,7,July,Tuesday,27,Medium,No,No,Q3
TXN10693,2024-09-04,122.95,Food & Dining,Need,GPay,McDonald's,McDonald's payment,9,September,Wednesday,36,Small,No,No,Q3
TXN10678,2024-08-27,798.9,Subscriptions,Want,GPay,Hotstar,Hotstar payment,8,August,Tuesday,35,Medium,No,No,Q3
TXN10809,2024-10-13,6634.79,Education,Need,PhonePe,Coursera,Coursera payment,10,October,Sunday,41,Large,Yes,Yes,Q4
TXN10408,2024-06-11,173.84,Food & Dining,Need,PhonePe,Swiggy,Swiggy payment,6,June,Tuesday,24,Small,No,No,Q2
TXN10740,2024-09-17,3156.6,Bills & Utilities,Need,PhonePe,MPPKVVCL,MPPKVVCL payment,9,September,Tuesday,38,Large,No,No,Q3
TXN10213,2024-04-03,651.54,Food & Dining,Need,GPay,Swiggy,Swiggy payment,4,April,Wednesday,14,Medium,No,No,Q2
TXN10589,2024-08-01,4963.94,Education,Need,BHIM UPI,Unacademy,Unacademy payment,8,August,Thursday,31,Large,No,No,Q3
TXN10365,2024-05-27,959.05,Entertainment,Want,GPay,YouTube Premium,YouTube Premium payment,5,May,Monday,22,Medium,No,No,Q2
